id,mon,s,t
5732,"0,1,733,1",13,168
5733,"0,1,732,1",13,168
5734,"0,2,719,1",13,168
5735,"23,1,368,1",12,168
5736,"1,1,719,1",12,168
5737,"0,1,734,1",12,168
5738,"0,4,696,1",12,168
5739,"745,1",11,168
5740,"744,1",11,168
5741,"743,1",11,168
5742,"18,1,419,1",11,168
5743,"0,1,18,1,414,1",11,168
5744,"0,4,23,1,324,1",11,168
5745,"746,1",10,168
5746,"0,1,18,1,415,1",10,168
5747,"0,1,8,1,9,1,324,1",10,168
5748,"0,2,720,1",10,168
5749,"0,8,18,1,324,1",10,168
5750,"2,1,697,1",9,168
5751,"1,1,720,1",9,168
5752,"0,1,29,1,324,1",9,168
5753,"2,1,698,1",8,168
5754,"2,1,24,1,69,2",8,168
5755,"2,1,18,1,368,1",8,168
5756,"1,1,28,1,324,1",8,168
5757,"748,1",7,168
5758,"747,1",7,168
5759,"2,1,699,1",7,168
5760,"2,1,24,1,324,1",7,168
5761,"749,1",6,168
5762,"2,1,25,1,324,1",6,168
5763,"750,1",5,168
5764,"751,1",4,168
5765,"2,2,18,1,324,1",4,168
5766,"3,1,18,1,324,1",3,168
5767,"0,169",169,169
5768,"1,1,721,1",56,169
5769,"0,1,8,1,553,1",53,169
5770,"0,1,8,1,554,1",52,169
5771,"0,5,685,1",45,169
5772,"0,4,17,1,403,1",44,169
5773,"0,1,8,1,555,1",43,169
5774,"0,5,686,1",43,169
5775,"0,1,8,1,556,1",42,169
5776,"0,2,722,1",42,169
5777,"0,41,324,1",42,169
5778,"0,1,17,1,433,1",41,169
5779,"0,2,725,1",36,169
5780,"752,1",35,169
5781,"1,1,725,1",35,169
5782,"0,1,8,1,64,1,137,1",33,169
5783,"0,1,8,1,64,1,138,1",32,169
5784,"0,2,8,1,16,1,260,1",32,169
5785,"5,1,64,1,149,1",31,169
5786,"0,2,8,1,17,1,260,1",31,169
5787,"1,1,42,1,260,1",28,169
5788,"753,1",26,169
5789,"0,4,64,1,187,1",26,169
5790,"1,1,727,1",25,169
5791,"0,4,64,1,188,1",25,169
5792,"1,2,64,1,187,1",24,169
5793,"0,4,703,1",24,169
5794,"13,4,95,1",23,169
5795,"4,1,627,1",23,169
5796,"0,3,717,1",23,169
5797,"0,4,706,1",23,169
5798,"13,3,164,1",22,169
5799,"8,1,69,1,138,1",22,169
5800,"0,1,3,1,646,1",22,169
5801,"0,1,2,1,690,1",22,169
5802,"0,5,693,1",22,169
5803,"754,1",21,169
5804,"1,1,728,1",21,169
5805,"0,1,739,1",21,169
5806,"1,1,3,1,639,1",20,169
5807,"0,1,43,1,266,1",20,169
5808,"1,1,729,1",19,169
5809,"0,1,43,1,267,1",19,169
5810,"8,2,69,1,80,1",18,169
5811,"0,1,3,1,648,1",18,169
5812,"75,1,188,1",17,169
5813,"1,2,708,1",17,169
5814,"0,1,8,2,367,1",17,169
5815,"0,1,3,1,650,1",17,169
5816,"75,1,189,1",16,169
5817,"0,1,741,1",16,169
5818,"0,1,67,1,197,1",16,169
5819,"76,1,189,1",15,169
5820,"23,1,373,1",15,169
5821,"0,1,30,1,324,1",15,169
5822,"0,7,676,1",15,169
5823,"75,1,190,1",14,169
5824,"23,1,376,1",14,169
5825,"0,2,732,1",14,169
5826,"0,3,719,1",14,169
5827,"76,1,190,1",13,169
5828,"1,1,732,1",13,169
5829,"0,5,696,1",13,169
5830,"1,1,734,1",12,169
5831,"1,1,7,1,571,1",12,169
5832,"0,1,743,1",12,169
5833,"0,2,18,1,414,1",12,169
5834,"0,5,23,1,324,1",12,169
5835,"755,1",11,169
5836,"3,1,18,1,333,1",11,169
5837,"2,1,18,1,373,1",11,169
5838,"0,1,746,1",11,169
5839,"0,2,18,1,415,1",11,169
5840,"0,2,8,1,9,1,324,1",11,169
5841,"0,3,720,1",11,169
5842,"0,9,18,1,324,1",11,169
5843,"757,1",10,169
5844,"756,1",10,169
5845,"3,1,659,1",10,169
5846,"2,1,18,1,376,1",10,169
5847,"0,2,29,1,324,1",10,169
5848,"0,1,2,1,698,1",9,169
5849,"0,1,748,1",8,169
5850,"0,1,747,1",8,169
5851,"2,2,660,1",7,169
5852,"0,1,749,1",7,169
5853,"0,1,750,1",6,169
5854,"0,1,751,1",5,169
5855,"0,1,3,1,18,1,324,1",4,169
5856,"0,170",170,170
5857,"758,1",57,170
5858,"0,2,8,1,553,1",54,170
5859,"0,2,8,1,554,1",53,170
5860,"1,1,736,1",50,170
5861,"0,6,685,1",46,170
5862,"0,5,17,1,403,1",45,170
5863,"0,2,8,1,555,1",44,170
5864,"0,6,686,1",44,170
5865,"0,2,8,1,556,1",43,170
5866,"0,3,722,1",43,170
5867,"0,42,324,1",43,170
5868,"16,1,452,1",40,170
5869,"17,1,452,1",39,170
5870,"49,1,245,1",38,170
5871,"8,1,572,1",37,170
5872,"0,3,725,1",37,170
5873,"8,3,244,1",36,170
5874,"0,1,752,1",36,170
5875,"8,1,16,1,17,1,149,1",35,170
5876,"759,1",34,170
5877,"8,3,245,1",34,170
5878,"8,3,247,1",33,170
5879,"0,2,8,1,64,1,138,1",33,170
5880,"8,4,166,1",32,170
5881,"8,4,167,1",31,170
5882,"64,1,206,1",30,170
5883,"8,2,380,1",30,170
5884,"8,3,248,1",30,170
5885,"113,1,149,1",29,170
5886,"8,1,17,1,278,1",29,170
5887,"8,2,13,1,219,1",29,170
5888,"17,1,454,1",28,170
5889,"8,1,573,1",28,170
5890,"8,1,13,2,194,1",28,170
5891,"42,1,278,1",27,170
5892,"13,3,167,1",27,170
5893,"8,1,574,1",27,170
5894,"0,1,753,1",27,170
5895,"0,5,64,1,187,1",27,170
5896,"13,3,168,1",26,170
5897,"8,1,9,1,346,1",26,170
5898,"8,2,382,1",26,170
5899,"0,5,64,1,188,1",26,170
5900,"9,1,13,1,292,1",25,170
5901,"8,2,383,1",25,170
5902,"8,3,250,1",24,170
5903,"0,4,717,1",24,170
5904,"0,5,706,1",24,170
5905,"8,2,384,1",23,170
5906,"0,1,8,1,69,1,138,1",23,170
5907,"0,2,3,1,646,1",23,170
5908,"0,6,693,1",23,170
5909,"8,1,9,1,13,1,209,1",22,170
5910,"0,2,739,1",22,170
5911,"9,1,13,1,294,1",21,170
5912,"0,2,43,1,266,1",21,170
5913,"64,1,209,1",20,170
5914,"0,2,43,1,267,1",20,170
5915,"760,1",19,170
5916,"761,1",18,170
5917,"762,1",17,170
5918,"0,2,741,1",17,170
5919,"763,1",16,170
5920,"3,1,669,1",16,170
5921,"0,2,30,1,324,1",16,170
5922,"0,8,676,1",16,170
5923,"765,1",15,170
5924,"764,1",15,170
5925,"0,3,732,1",15,170
5926,"767,1",14,170
5927,"766,1",14,170
5928,"67,1,203,1",14,170
5929,"768,1",13,170
5930,"68,1,203,1",13,170
5931,"31,1,324,1",13,170
5932,"3,1,673,1",13,170
5933,"1,2,719,1",13,170
5934,"0,2,743,1",13,170
5935,"769,1",12,170
5936,"3,1,674,1",12,170
5937,"2,1,719,1",12,170
5938,"1,1,744,1",12,170
5939,"0,1,755,1",12,170
5940,"0,10,18,1,324,1",12,170
5941,"770,1",11,170
5942,"0,1,757,1",11,170
5943,"0,1,756,1",11,170
5944,"0,1,3,1,659,1",11,170
5945,"773,1",10,170
5946,"772,1",10,170
5947,"771,1",10,170
5948,"18,1,443,1",10,170
5949,"775,1",9,170
5950,"774,1",9,170
5951,"18,1,445,1",9,170
5952,"8,1,13,1,324,1",9,170
5953,"0,2,747,1",9,170
5954,"776,1",8,170
5955,"32,1,324,1",8,170
5956,"1,1,748,1",8,170
5957,"1,1,747,1",8,170
5958,"0,2,749,1",8,170
5959,"33,1,324,1",7,170
5960,"18,1,446,1",7,170
5961,"1,1,749,1",7,170
5962,"0,2,750,1",7,170
5963,"34,1,324,1",6,170
5964,"1,1,750,1",6,170
5965,"0,2,751,1",6,170
5966,"35,1,324,1",5,170
5967,"1,1,751,1",5,170
5968,"0,2,3,1,18,1,324,1",5,170
5969,"1,1,3,1,18,1,324,1",4,170
5970,"0,171",171,171
5971,"8,1,578,1",52,171
5972,"8,1,579,1",51,171
5973,"17,1,470,1",50,171
5974,"777,1",49,171
5975,"8,3,252,1",48,171
5976,"8,3,253,1",47,171
5977,"8,2,17,1,200,1",46,171
5978,"8,2,401,1",45,171
5979,"0,7,686,1",45,171
5980,"8,5,116,1",44,171
5981,"0,43,324,1",44,171
5982,"8,5,117,1",43,171
5983,"8,2,402,1",42,171
5984,"8,4,17,1,78,1",42,171
5985,"8,2,403,1",41,171
5986,"8,4,171,1",41,171
5987,"0,1,16,1,452,1",41,171
5988,"16,1,17,1,225,1",40,171
5989,"8,7,39,1",40,171
5990,"0,1,17,1,452,1",40,171
5991,"59,1,224,1",39,171
5992,"17,2,225,1",39,171
5993,"8,7,40,1",39,171
5994,"8,3,16,1,137,1",38,171
5995,"8,6,17,1,20,1",38,171
5996,"0,4,725,1",38,171
5997,"8,3,16,1,138,1",37,171
5998,"8,6,63,1",37,171
5999,"0,2,752,1",37,171
6000,"8,3,17,1,138,1",36,171
6001,"8,7,9,1,13,1",36,171
6002,"1,2,725,1",36,171
6003,"8,2,42,1,137,1",35,171
6004,"8,6,9,1,32,1",35,171
6005,"0,1,759,1",35,171
6006,"778,1",34,171
6007,"8,5,9,1,13,1,23,1",34,171
6008,"8,6,64,1",34,171
6009,"8,4,9,1,13,1,51,1",33,171
6010,"8,5,118,1",33,171
6011,"8,1,64,1,146,1",32,171
6012,"8,3,9,1,13,4",32,171
6013,"8,4,17,1,80,1",32,171
6014,"1,1,5,1,64,1,149,1",32,171
6015,"8,1,64,1,147,1",31,171
6016,"8,2,9,1,13,3,32,1",31,171
6017,"8,4,173,1",31,171
6018,"0,1,8,2,380,1",31,171
6019,"8,1,9,1,13,4,23,1",30,171
6020,"8,2,404,1",30,171
6021,"8,4,13,1,101,1",30,171
6022,"0,1,8,1,17,1,278,1",30,171
6023,"9,1,13,4,51,1",29,171
6024,"8,1,580,1",29,171
6025,"8,3,13,2,80,1",29,171
6026,"0,1,17,1,454,1",29,171
6027,"8,2,13,1,23,1,101,1",28,171
6028,"8,3,254,1",28,171
6029,"0,6,64,1,187,1",28,171
6030,"8,1,13,2,23,1,80,1",27,171
6031,"8,3,255,1",27,171
6032,"0,6,64,1,188,1",27,171
6033,"13,4,101,1",26,171
6034,"8,2,20,1,188,1",26,171
6035,"8,1,20,1,267,1",25,171
6036,"0,6,706,1",25,171
6037,"8,1,9,1,13,1,212,1",24,171
6038,"0,2,8,1,69,1,138,1",24,171
6039,"779,1",23,171
6040,"9,1,13,2,188,1",23,171
6041,"64,1,212,1",22,171
6042,"13,2,286,1",22,171
6043,"79,1,188,1",21,171
6044,"13,2,287,1",21,171
6045,"8,1,582,1",21,171
6046,"0,1,64,1,209,1",21,171
6047,"80,1,188,1",20,171
6048,"17,1,475,1",20,171
6049,"0,1,760,1",20,171
6050,"780,1",19,171
6051,"43,1,285,1",18,171
6052,"13,2,288,1",18,171
6053,"3,2,604,1",18,171
6054,"0,1,762,1",18,171
6055,"43,1,287,1",17,171
6056,"13,1,532,1",17,171
6057,"8,2,414,1",17,171
6058,"0,1,763,1",17,171
6059,"0,1,3,1,669,1",17,171
6060,"0,9,676,1",17,171
6061,"781,1",16,171
6062,"8,2,415,1",16,171
6063,"1,1,76,1,189,1",16,171
6064,"0,1,765,1",16,171
6065,"0,1,764,1",16,171
6066,"0,4,732,1",16,171
6067,"8,1,583,1",15,171
6068,"3,1,680,1",15,171
6069,"0,1,767,1",15,171
6070,"0,1,766,1",15,171
6071,"0,1,67,1,203,1",15,171
6072,"74,1,197,1",14,171
6073,"9,1,563,1",14,171
6074,"1,1,76,1,190,1",14,171
6075,"0,1,68,1,203,1",14,171
6076,"0,1,31,1,324,1",14,171
6077,"0,1,3,1,673,1",14,171
6078,"0,3,743,1",14,171
6079,"2,1,732,1",13,171
6080,"0,1,769,1",13,171
6081,"0,1,3,1,674,1",13,171
6082,"0,1,2,1,719,1",13,171
6083,"0,2,755,1",13,171
6084,"0,11,18,1,324,1",13,171
6085,"2,1,734,1",12,171
6086,"0,1,770,1",12,171
6087,"0,2,757,1",12,171
6088,"1,1,756,1",11,171
6089,"0,1,772,1",11,171
6090,"0,1,18,1,443,1",11,171
6091,"3,1,18,1,352,1",10,171
6092,"0,1,18,1,445,1",10,171
6093,"0,1,8,1,13,1,324,1",10,171
6094,"0,3,747,1",10,171
6095,"782,1",9,171
6096,"0,1,32,1,324,1",9,171
6097,"0,3,749,1",9,171
6098,"0,1,18,1,446,1",8,171
6099,"0,3,750,1",8,171
6100,"0,1,34,1,324,1",7,171
6101,"0,3,751,1",7,171
6102,"0,3,3,1,18,1,324,1",6,171
6103,"4,1,18,1,324,1",5,171
6104,"0,172",172,172
6105,"1,1,758,1",58,172
6106,"783,1",57,172
6107,"0,1,8,1,578,1",53,172
6108,"0,1,8,1,579,1",52,172
6109,"0,1,17,1,470,1",51,172
6110,"0,8,686,1",46,172
6111,"0,44,324,1",45,172
6112,"0,1,8,2,402,1",43,172
6113,"0,1,8,2,403,1",42,172
6114,"0,2,16,1,452,1",42,172
6115,"0,1,16,1,17,1,225,1",41,172
6116,"0,2,17,1,452,1",41,172
6117,"0,1,17,2,225,1",40,172
6118,"0,5,725,1",39,172
6119,"0,3,752,1",38,172
6120,"0,2,759,1",36,172
6121,"0,1,778,1",35,172
6122,"0,2,8,2,380,1",32,172
6123,"0,2,8,1,17,1,278,1",31,172
6124,"784,1",26,172
6125,"13,1,537,1",25,172
6126,"13,4,105,1",25,172
6127,"5,1,627,1",25,172
6128,"13,1,538,1",24,172
6129,"9,1,13,2,23,1,75,1",24,172
6130,"4,1,655,1",23,172
6131,"2,1,737,1",23,172
6132,"785,1",22,172
6133,"8,1,69,1,147,1",22,172
6134,"0,1,8,1,582,1",22,172
6135,"0,2,64,1,209,1",22,172
6136,"1,1,64,1,209,1",21,172
6137,"0,1,17,1,475,1",21,172
6138,"0,2,760,1",21,172
6139,"1,1,760,1",20,172
6140,"0,1,780,1",20,172
6141,"23,1,417,1",19,172
6142,"1,1,761,1",19,172
6143,"0,1,43,1,285,1",19,172
6144,"0,1,3,2,604,1",19,172
6145,"0,2,762,1",19,172
6146,"786,1",18,172
6147,"24,1,417,1",18,172
6148,"3,1,691,1",18,172
6149,"1,1,762,1",18,172
6150,"0,2,763,1",18,172
6151,"0,2,764,1",17,172
6152,"0,5,732,1",17,172
6153,"9,1,569,1",16,172
6154,"1,1,764,1",16,172
6155,"0,2,766,1",16,172
6156,"1,1,766,1",15,172
6157,"0,1,74,1,197,1",15,172
6158,"0,2,31,1,324,1",15,172
6159,"0,4,743,1",15,172
6160,"70,1,209,1",14,172
6161,"1,1,31,1,324,1",14,172
6162,"0,12,18,1,324,1",14,172
6163,"787,1",13,172
6164,"788,1",12,172
6165,"0,2,18,1,443,1",12,172
6166,"790,1",11,172
6167,"789,1",11,172
6168,"2,1,746,1",11,172
6169,"0,2,18,1,445,1",11,172
6170,"0,2,8,1,13,1,324,1",11,172
6171,"793,1",10,172
6172,"792,1",10,172
6173,"791,1",10,172
6174,"0,2,32,1,324,1",10,172
6175,"3,1,696,1",9,172
6176,"2,2,18,1,368,1",9,172
6177,"1,2,747,1",9,172
6178,"0,2,18,1,446,1",9,172
6179,"0,4,750,1",9,172
6180,"794,1",8,172
6181,"1,1,33,1,324,1",8,172
6182,"1,1,18,1,446,1",8,172
6183,"1,2,749,1",8,172
6184,"0,2,34,1,324,1",8,172
6185,"0,4,751,1",8,172
6186,"36,1,324,1",7,172
6187,"3,1,699,1",7,172
6188,"1,1,34,1,324,1",7,172
6189,"1,1,35,1,324,1",6,172
6190,"1,2,751,1",6,172
6191,"37,1,324,1",5,172
6192,"1,2,3,1,18,1,324,1",5,172
6193,"38,1,324,1",4,172
6194,"0,173",173,173
6195,"0,1,783,1",58,173
6196,"0,2,8,1,578,1",54,173
6197,"0,2,8,1,579,1",53,173
6198,"5,1,635,1",47,173
6199,"0,9,686,1",47,173
6200,"0,45,324,1",46,173
6201,"0,2,8,2,402,1",44,173
6202,"0,2,8,2,403,1",43,173
6203,"0,3,17,1,452,1",42,173
6204,"0,2,17,2,225,1",41,173
6205,"8,1,595,1",40,173
6206,"1,1,59,1,224,1",40,173
6207,"0,6,725,1",40,173
6208,"17,1,488,1",39,173
6209,"0,4,752,1",39,173
6210,"8,1,596,1",38,173
6211,"8,1,597,1",37,173
6212,"0,3,759,1",37,173
6213,"8,3,257,1",36,173
6214,"8,2,17,1,206,1",35,173
6215,"16,1,491,1",34,173
6216,"8,3,258,1",34,173
6217,"17,1,491,1",33,173
6218,"8,3,259,1",33,173
6219,"8,4,180,1",32,173
6220,"796,1",31,173
6221,"795,1",31,173
6222,"8,3,9,1,167,1",31,173
6223,"8,1,64,1,149,1",30,173
6224,"8,2,9,1,248,1",30,173
6225,"8,3,260,1",30,173
6226,"8,1,598,1",29,173
6227,"8,1,16,1,292,1",29,173
6228,"8,1,9,1,13,1,219,1",29,173
6229,"9,1,13,2,194,1",28,173
6230,"8,1,599,1",28,173
6231,"8,1,17,1,292,1",28,173
6232,"8,1,602,1",27,173
6233,"8,2,420,1",27,173
6234,"8,1,13,1,346,1",26,173
6235,"8,2,16,1,209,1",26,173
6236,"13,2,292,1",25,173
6237,"8,2,17,1,209,1",25,173
6238,"797,1",24,173
6239,"8,3,261,1",24,173
6240,"1,1,779,1",24,173
6241,"8,2,423,1",23,173
6242,"0,1,8,1,69,1,147,1",23,173
6243,"0,3,64,1,209,1",23,173
6244,"8,1,13,2,209,1",22,173
6245,"0,2,17,1,475,1",22,173
6246,"0,3,760,1",22,173
6247,"13,2,294,1",21,173
6248,"0,2,780,1",21,173
6249,"72,1,209,1",20,173
6250,"13,3,181,1",20,173
6251,"0,3,762,1",20,173
6252,"798,1",19,173
6253,"0,3,763,1",19,173
6254,"0,6,732,1",18,173
6255,"3,1,707,1",17,173
6256,"1,1,781,1",17,173
6257,"1,1,3,1,680,1",16,173
6258,"0,5,743,1",16,173
6259,"799,1",15,173
6260,"3,1,709,1",15,173
6261,"0,13,18,1,324,1",15,173
6262,"800,1",14,173
6263,"18,1,475,1",14,173
6264,"0,1,787,1",14,173
6265,"801,1",13,173
6266,"40,1,69,2",13,173
6267,"39,1,324,1",13,173
6268,"13,1,69,1,134,1",13,173
6269,"0,1,788,1",13,173
6270,"40,1,324,1",12,173
6271,"3,1,712,1",12,173
6272,"0,1,790,1",12,173
6273,"0,1,789,1",12,173
6274,"0,1,2,1,746,1",12,173
6275,"2,2,18,1,376,1",11,173
6276,"0,1,793,1",11,173
6277,"0,1,791,1",11,173
6278,"18,1,479,1",10,173
6279,"1,1,782,1",10,173
6280,"0,3,18,1,446,1",10,173
6281,"802,1",9,173
6282,"9,1,13,1,324,1",9,173
6283,"0,3,34,1,324,1",9,173
6284,"0,1,36,1,324,1",8,173
6285,"3,1,18,1,378,1",7,173
6286,"1,1,4,1,18,1,324,1",6,173
6287,"0,1,37,1,324,1",6,173
6288,"0,1,38,1,324,1",5,173
6289,"0,174",174,174
6290,"0,2,783,1",59,174
6291,"803,1",56,174
6292,"804,1",55,174
6293,"8,2,431,1",52,174
6294,"8,1,16,1,296,1",51,174
6295,"8,1,17,1,296,1",50,174
6296,"8,1,607,1",49,174
6297,"8,4,182,1",48,174
6298,"0,10,686,1",48,174
6299,"8,4,183,1",47,174
6300,"0,46,324,1",47,174
6301,"805,1",46,174
6302,"8,2,16,1,17,1,111,1",46,174
6303,"806,1",45,174
6304,"8,3,265,1",45,174
6305,"8,6,71,1",44,174
6306,"8,5,16,1,50,1",43,174
6307,"0,4,17,1,452,1",43,174
6308,"8,2,432,1",42,174
6309,"8,5,17,1,50,1",42,174
6310,"0,3,17,2,225,1",42,174
6311,"8,2,433,1",41,174
6312,"8,5,125,1",41,174
6313,"0,7,725,1",41,174
6314,"8,1,17,1,298,1",40,174
6315,"8,8,16,1",40,174
6316,"0,5,752,1",40,174
6317,"17,2,238,1",39,174
6318,"8,8,17,1",39,174
6319,"8,4,184,1",38,174
6320,"8,6,16,1,23,1",38,174
6321,"8,4,185,1",37,174
6322,"8,7,42,1",37,174
6323,"64,1,224,1",36,174
6324,"8,3,17,1,147,1",36,174
6325,"8,7,13,2",36,174
6326,"64,1,225,1",35,174
6327,"8,2,17,2,113,1",35,174
6328,"8,6,13,1,32,1",35,174
6329,"0,1,16,1,491,1",35,174
6330,"138,2",34,174
6331,"8,5,13,2,23,1",34,174
6332,"8,6,72,1",34,174
6333,"0,1,17,1,491,1",34,174
6334,"809,1",33,174
6335,"808,1",33,174
6336,"807,1",33,174
6337,"8,4,13,2,51,1",33,174
6338,"8,5,127,1",33,174
6339,"8,1,16,1,64,2",32,174
6340,"8,3,13,5",32,174
6341,"8,4,20,1,80,1",32,174
6342,"0,1,795,1",32,174
6343,"8,1,16,1,299,1",31,174
6344,"8,2,13,4,32,1",31,174
6345,"8,4,186,1",31,174
6346,"0,1,8,3,260,1",31,174
6347,"8,1,13,5,23,1",30,174
6348,"8,2,434,1",30,174
6349,"8,3,9,1,13,1,101,1",30,174
6350,"0,1,8,1,16,1,292,1",30,174
6351,"13,5,51,1",29,174
6352,"8,2,435,1",29,174
6353,"8,2,9,1,13,2,80,1",29,174
6354,"5,1,642,1",29,174
6355,"13,5,52,1",28,174
6356,"8,1,9,1,13,1,23,1,101,1",28,174
6357,"8,4,187,1",28,174
6358,"9,1,13,2,23,1,80,1",27,174
6359,"8,4,188,1",27,174
6360,"8,3,267,1",26,174
6361,"1,1,5,1,627,1",26,174
6362,"810,1",25,174
6363,"8,2,23,1,188,1",25,174
6364,"0,1,797,1",25,174
6365,"812,1",24,174
6366,"811,1",24,174
6367,"13,2,303,1",24,174
6368,"8,1,13,2,212,1",24,174
6369,"0,2,8,1,69,1,147,1",24,174
6370,"0,4,64,1,209,1",24,174
6371,"813,1",23,174
6372,"13,3,188,1",23,174
6373,"9,1,13,1,328,1",23,174
6374,"1,1,785,1",23,174
6375,"0,4,760,1",23,174
6376,"13,3,189,1",22,174
6377,"8,1,610,1",22,174
6378,"1,2,64,1,209,1",22,174
6379,"0,3,780,1",22,174
6380,"80,1,201,1",21,174
6381,"7,1,627,1",21,174
6382,"3,1,717,1",21,174
6383,"0,4,762,1",21,174
6384,"13,3,190,1",20,174
6385,"8,1,613,1",20,174
6386,"3,2,628,1",20,174
6387,"0,4,763,1",20,174
6388,"9,1,13,1,331,1",19,174
6389,"1,1,786,1",19,174
6390,"1,1,3,1,691,1",19,174
6391,"3,2,629,1",18,174
6392,"0,1,3,1,707,1",18,174
6393,"8,2,443,1",17,174
6394,"2,1,763,1",17,174
6395,"1,2,764,1",17,174
6396,"0,6,743,1",17,174
6397,"8,2,445,1",16,174
6398,"1,2,766,1",16,174
6399,"0,1,799,1",16,174
6400,"0,1,3,1,709,1",16,174
6401,"0,14,18,1,324,1",16,174
6402,"1,1,70,1,209,1",15,174
6403,"1,2,31,1,324,1",15,174
6404,"0,1,800,1",15,174
6405,"0,1,18,1,475,1",15,174
6406,"0,2,787,1",15,174
6407,"814,1",14,174
6408,"0,1,801,1",14,174
6409,"0,1,39,1,324,1",14,174
6410,"0,2,788,1",14,174
6411,"815,1",13,174
6412,"13,1,565,1",13,174
6413,"0,1,40,1,324,1",13,174
6414,"0,1,3,1,712,1",13,174
6415,"0,2,789,1",13,174
6416,"817,1",12,174
6417,"816,1",12,174
6418,"13,1,566,1",12,174
6419,"3,1,719,1",12,174
6420,"1,1,789,1",12,174
6421,"0,2,793,1",12,174
6422,"7,1,632,1",11,174
6423,"2,1,773,1",11,174
6424,"1,1,792,1",11,174
6425,"0,1,18,1,479,1",11,174
6426,"0,4,18,1,446,1",11,174
6427,"818,1",10,174
6428,"7,1,633,1",10,174
6429,"0,1,802,1",10,174
6430,"0,4,34,1,324,1",10,174
6431,"3,1,720,1",9,174
6432,"1,2,18,1,446,1",9,174
6433,"0,2,36,1,324,1",9,174
6434,"819,1",8,174
6435,"1,1,36,1,324,1",8,174
6436,"0,1,3,1,18,1,378,1",8,174
6437,"5,1,18,1,324,1",7,174
6438,"0,2,37,1,324,1",7,174
6439,"0,2,38,1,324,1",6,174
6440,"0,175",175,175
6441,"0,1,803,1",57,175
6442,"0,1,804,1",56,175
6443,"0,1,8,2,431,1",53,175
6444,"0,1,8,1,16,1,296,1",52,175
6445,"0,11,686,1",49,175
6446,"1,1,5,1,635,1",48,175
6447,"0,47,324,1",48,175
6448,"0,1,805,1",47,175
6449,"0,1,806,1",46,175
6450,"0,5,17,1,452,1",44,175
6451,"0,1,8,2,432,1",43,175
6452,"0,4,17,2,225,1",43,175
6453,"0,1,8,2,433,1",42,175
6454,"0,8,725,1",42,175
6455,"0,1,8,1,17,1,298,1",41,175
6456,"0,6,752,1",41,175
6457,"0,1,64,1,224,1",37,175
6458,"0,1,64,1,225,1",36,175
6459,"0,2,16,1,491,1",36,175
6460,"0,1,138,2",35,175
6461,"0,2,17,1,491,1",35,175
6462,"0,1,809,1",34,175
6463,"0,1,807,1",34,175
6464,"0,2,795,1",33,175
6465,"1,1,795,1",32,175
6466,"0,2,8,3,260,1",32,175
6467,"0,2,8,1,16,1,292,1",31,175
6468,"820,1",28,175
6469,"821,1",27,175
6470,"0,1,810,1",26,175
6471,"0,2,797,1",26,175
6472,"1,1,797,1",25,175
6473,"0,1,812,1",25,175
6474,"0,1,811,1",25,175
6475,"0,5,64,1,209,1",25,175
6476,"13,3,23,1,75,1",24,175
6477,"0,5,760,1",24,175
6478,"13,3,23,1,76,1",23,175
6479,"0,4,780,1",23,175
6480,"0,1,7,1,627,1",22,175
6481,"0,1,3,1,717,1",22,175
6482,"0,5,762,1",22,175
6483,"0,1,8,1,613,1",21,175
6484,"0,5,763,1",21,175
6485,"1,1,798,1",20,175
6486,"822,1",19,175
6487,"0,2,3,1,707,1",19,175
6488,"823,1",18,175
6489,"75,1,212,1",18,175
6490,"0,1,2,1,763,1",18,175
6491,"0,7,743,1",18,175
6492,"76,1,212,1",17,175
6493,"18,1,494,1",17,175
6494,"0,15,18,1,324,1",17,175
6495,"107,1,174,1",16,175
6496,"41,1,324,1",16,175
6497,"13,1,569,1",16,175
6498,"0,2,18,1,475,1",16,175
6499,"825,1",15,175
6500,"824,1",15,175
6501,"75,1,213,1",15,175
6502,"13,1,570,1",15,175
6503,"0,1,814,1",15,175
6504,"0,2,801,1",15,175
6505,"0,2,39,1,324,1",15,175
6506,"76,1,213,1",14,175
6507,"3,1,731,1",14,175
6508,"3,1,730,1",14,175
6509,"2,2,732,1",14,175
6510,"0,1,815,1",14,175
6511,"0,2,40,1,324,1",14,175
6512,"3,1,732,1",13,175
6513,"2,2,734,1",13,175
6514,"0,1,817,1",13,175
6515,"0,1,3,1,719,1",13,175
6516,"0,3,793,1",13,175
6517,"826,1",12,175
6518,"3,1,735,1",12,175
6519,"3,1,734,1",12,175
6520,"0,5,18,1,446,1",12,175
6521,"827,1",11,175
6522,"0,1,818,1",11,175
6523,"0,2,802,1",11,175
6524,"0,5,34,1,324,1",11,175
6525,"828,1",10,175
6526,"1,1,802,1",10,175
6527,"0,3,36,1,324,1",10,175
6528,"0,176",176,176
6529,"0,2,803,1",58,176
6530,"1,1,803,1",57,176
6531,"0,2,804,1",57,176
6532,"0,2,8,2,431,1",54,176
6533,"0,2,8,1,16,1,296,1",53,176
6534,"0,12,686,1",50,176
6535,"0,48,324,1",49,176
6536,"0,2,805,1",48,176
6537,"0,2,806,1",47,176
6538,"0,5,17,2,225,1",44,176
6539,"0,2,8,2,433,1",43,176
6540,"829,1",41,176
6541,"8,2,452,1",40,176
6542,"16,1,17,1,244,1",39,176
6543,"8,1,31,1,245,1",38,176
